id_entrenador;nombre_completo;correo;telefono;especialidad;salario
1;Laura Gómez;laura.gomez@vibefit.com;7277-1411;1;950.00
2;Carlos Mendoza;carlos.mendoza@vibefit.com;7515-2312;2;1100.00
3;Andrés Rivera;andres.rivera@vibefit.com;7747-3313;3;980.00
4;María Torres;maria.torres@vibefit.com;7297-4544;4;900.00
5;José Castro;jose.castro@vibefit.com;7637-5425;3;1000.00
6;Sofía López;sofia.lopez@vibefit.com;7232-6296;1;1050.00
7;Raúl Jiménez;raul.jimenez@vibefit.com;7045-7722;2;1150.00
8;Fernanda Ruiz;fernanda.ruiz@vibefit.com;8877-1436;3;980.00
9;Daniel Pérez;daniel.perez@vibefit.com;7245-9319;4;970.00
10;Gabriela Flores;gabriela.flores@vibefit.com;7257-3054;1;1100.00
