id_socio;nombre_completo;correo;telefono;fecha_afiliacion;id_membresia
1;María López;maria.lopez@vibefit.com;7777-1001;2025-01-10;2
2;José Martínez;jose.martinez@vibefit.com;7777-1002;2025-01-11;1
3;Ana Torres;ana.torres@vibefit.com;7777-1003;2025-01-12;3
4;Carlos Pérez;carlos.perez@vibefit.com;7777-1004;2025-01-13;4
5;Laura Gómez;laura.gomez@vibefit.com;7777-1005;2025-01-14;5
6;Daniel Cruz;daniel.cruz@vibefit.com;7777-1006;2025-01-15;6
7;Paola Rivera;paola.rivera@vibefit.com;7777-1007;2025-01-16;7
8;Luis Hernández;luis.hernandez@vibefit.com;7777-1008;2025-01-17;8
9;Andrea Castillo;andrea.castillo@vibefit.com;7777-1009;2025-01-18;9
10;Ricardo Flores;ricardo.flores@vibefit.com;7777-1010;2025-01-19;10
11;Marta López;marta.lopez@vibefit.com;7777-1011;2025-01-20;11
12;Roberto Aguilar;roberto.aguilar@vibefit.com;7777-1012;2025-01-21;12
13;Sandra Ruiz;sandra.ruiz@vibefit.com;7777-1013;2025-01-22;13
14;Carlos Mejía;carlos.mejia@vibefit.com;7777-1014;2025-01-23;14
15;Elena Castro;elena.castro@vibefit.com;7777-1015;2025-01-24;15
16;Javier Ramos;javier.ramos@vibefit.com;7777-1016;2025-01-25;1
17;Nadia Martínez;nadia.martinez@vibefit.com;7777-1017;2025-01-26;2
18;Luis Pineda;luis.pineda@vibefit.com;7777-1018;2025-01-27;3
19;Carmen Díaz;carmen.diaz@vibefit.com;7777-1019;2025-01-28;4
20;Fernando Reyes;fernando.reyes@vibefit.com;7777-1020;2025-01-29;5
21;Patricia López;patricia.lopez@vibefit.com;7777-1021;2025-01-30;6
22;Héctor Cruz;hector.cruz@vibefit.com;7777-1022;2025-02-01;7
23;Gabriela Molina;gabriela.molina@vibefit.com;7777-1023;2025-02-02;8
24;Raúl Rivera;raul.rivera@vibefit.com;7777-1024;2025-02-03;9
25;Diana Flores;diana.flores@vibefit.com;7777-1025;2025-02-04;10
26;Sofía Torres;sofia.torres@vibefit.com;7777-1026;2025-02-05;11
27;Emilio Gutiérrez;emilio.gutierrez@vibefit.com;7777-1027;2025-02-06;12
28;Verónica Salinas;veronica.salinas@vibefit.com;7777-1028;2025-02-07;13
29;Ricardo Romero;ricardo.romero@vibefit.com;7777-1029;2025-02-08;14
30;Mónica Pérez;monica.perez@vibefit.com;7777-1030;2025-02-09;15
31;Alexandra Ruiz;alexandra.ruiz@vibefit.com;7777-1031;2025-02-10;1
32;Cristian Flores;cristian.flores@vibefit.com;7777-1032;2025-02-11;2
33;Marcela Aguilar;marcela.aguilar@vibefit.com;7777-1033;2025-02-12;3
34;Santiago Torres;santiago.torres@vibefit.com;7777-1034;2025-02-13;4
35;Lorena Ramos;lorena.ramos@vibefit.com;7777-1035;2025-02-14;5
36;Diego Castillo;diego.castillo@vibefit.com;7777-1036;2025-02-15;6
37;Camila Reyes;camila.reyes@vibefit.com;7777-1037;2025-02-16;7
38;Erick López;erick.lopez@vibefit.com;7777-1038;2025-02-17;8
39;Alejandra Martínez;alejandra.martinez@vibefit.com;7777-1039;2025-02-18;9
40;Francisco Cruz;francisco.cruz@vibefit.com;7777-1040;2025-02-19;10
41;Diana Ramos;diana.ramos@vibefit.com;7777-1041;2025-02-20;11
42;Tomás Vega;tomas.vega@vibefit.com;7777-1042;2025-02-21;12
43;Rebeca Luna;rebeca.luna@vibefit.com;7777-1043;2025-02-22;13
44;Hugo Castro;hugo.castro@vibefit.com;7777-1044;2025-02-23;14
45;Mónica Díaz;monica.diaz@vibefit.com;7777-1045;2025-02-24;15
46;Oscar Pineda;oscar.pineda@vibefit.com;7777-1046;2025-02-25;1
47;Andrea Sánchez;andrea.sanchez@vibefit.com;7777-1047;2025-02-26;2
48;Ricardo Mendoza;ricardo.mendoza@vibefit.com;7777-1048;2025-02-27;3
49;Vanessa Cruz;vanessa.cruz@vibefit.com;7777-1049;2025-02-28;4
50;Eduardo Rivas;eduardo.rivas@vibefit.com;7777-1050;2025-03-01;5
51;Estefanía Gómez;estefania.gomez@vibefit.com;7777-1051;2025-03-02;6
52;Gustavo Herrera;gustavo.herrera@vibefit.com;7777-1052;2025-03-03;7
53;Fátima Morales;fatima.morales@vibefit.com;7777-1053;2025-03-04;8
54;Miguel Vázquez;miguel.vazquez@vibefit.com;7777-1054;2025-03-05;9
55;Susana Castro;susana.castro@vibefit.com;7777-1055;2025-03-06;10
56;Pedro García;pedro.garcia@vibefit.com;7777-1056;2025-03-07;11
57;Jessica Pérez;jessica.perez@vibefit.com;7777-1057;2025-03-08;12
58;Marcos Ramos;marcos.ramos@vibefit.com;7777-1058;2025-03-09;13
59;Claudia Flores;claudia.flores@vibefit.com;7777-1059;2025-03-10;14
60;Diego Navarro;diego.navarro@vibefit.com;7777-1060;2025-03-11;15
