id_socio;nombre_completo;correo;telefono;fecha_afiliacion;id_membresia
1;Liss Windsor;marcos.valentine7314@vibefit.com;7218-9809;2021-05-21;8
2;Berit Flores;john.fuentes8452@vibefit.com;7218-3257;2020-07-15;14
3;Barbara Valentine;barbara.flores8562@vibefit.com;7218-1819;2022-07-11;5
4;Liss Potter;josh.coleman7831@vibefit.com;7218-8565;2024-08-23;14
5;Liss Coleman;berit.vega8530@vibefit.com;7218-8117;2023-05-05;12
6;Suzy Fuentes;gregorovich.holgrem5014@vibefit.com;7218-2516;2023-11-01;4
7;Barbara Fuentes;josh.gutierrez3132@vibefit.com;7218-3214;2022-09-27;9
8;Barbara Windsor;john.flores3480@vibefit.com;7218-9180;2021-12-24;9
9;Berit Winchester;hector.saltzman2120@vibefit.com;7218-8176;2025-04-08;12
10;Hector Saltzman;josh.flores8343@vibefit.com;7218-8797;2020-12-18;13
11;Victoria Winchester;esme.saltzman7538@vibefit.com;7218-3516;2021-08-25;6
12;Freya Wright;liss.fuentes3156@vibefit.com;7218-6280;2025-06-16;4
13;Marcos Flores;liss.wright1256@vibefit.com;7218-6034;2025-12-20;8
14;Victoria Smith;voight.coleman8008@vibefit.com;7218-9711;2020-08-29;3
15;Esme Flores;liss.wright5740@vibefit.com;7218-4736;2022-09-15;12
16;Voight Windsor;gregorovich.potter9600@vibefit.com;7218-7864;2022-02-10;4
17;Barbara Vega;marcos.fuentes2044@vibefit.com;7218-5078;2023-01-28;13
18;Freya Gutierrez;marcos.saltzman4708@vibefit.com;7218-1234;2025-11-06;7
19;Hector Fuentes;suzy.winchester728@vibefit.com;7218-7723;2020-03-27;4
20;Victoria Winchester;voight.winchester8034@vibefit.com;7218-9383;2020-09-19;9
21;Berit Valentine;marcos.holgrem2192@vibefit.com;7218-1101;2022-01-01;10
22;Victoria Gutierrez;liss.windsor2236@vibefit.com;7218-7464;2022-02-02;13
23;Gregorovich Flores;kim.coleman3638@vibefit.com;7218-1031;2023-09-05;4
24;Freya Gutierrez;berit.valentine4724@vibefit.com;7218-5170;2024-09-04;13
25;Victoria Fuentes;barbara.potter7318@vibefit.com;7218-7501;2022-10-26;10
26;Victoria Winchester;esme.smith5234@vibefit.com;7218-6969;2025-04-23;15
27;Josh Vega;voight.gutierrez1594@vibefit.com;7218-6902;2021-02-27;11
28;Esme Windsor;freya.flores1400@vibefit.com;7218-1318;2021-11-27;5
